id,puzzle,solution,clues,difficulty
1,9...3..6..64...8.1..2..19......5.1.....8.4..9....6..8.2....8.1...........3....576,981435762364729851752681943648953127527814639193267485276598314415376298839142576,24,1.3
2,.5.3.698....2.84..8....4.7...97..8......1.5....5....96147.......8........928..7..,254376981971258463836194275469735812328619547715482396147923658683547129592861734,27,1.0
3,..7...9..35496..........7..4.3..8..191.4..82.........31...9....6891...5......5...,867231945354967182291584736473628591916453827528719463145396278689172354732845619,26,1.0
4,.....2...9..3..2..87.1...3.4.19......3.286.5......4.........92.5...2..13.....8..6,345862197916375248872149635461953782739286451258714369687531924594627813123498576,25,1.9
5,.......5.....1.4.965..8..2..3.8....7..9.52....4.....3...6...91.421........5.6.3..,914236758283715469657489123532841697769352841148697235376528914421973586895164372,25,1.7
6,....3469..8.....27.5..6..847....5....4..18..........4..29.....6..5.4....6..2.7...,217834695486951327953762184791425863342618759568379241129583476875146932634297518,25,1.3
7,.5...47.67.........2.9.7.8...1.38..4...2.9.3.......8....53..1....94.....3...6...7,953184726748623519126957483691538274587249631234716895475392168869471352312865947,25,1.6
8,26....7.....7.......8....21...8.....83.42..9...7..9..5.24..3.5.5.........7...19..,261598734453712869798346521912865473835427196647139285124983657589674312376251948,24,1.4
9,5...32....2...73.9.678....52.....71............8.4....9......61.51.....3....8.4..,589132647124657389367894125295368714436715298718249536942573861851426973673981452,24,1.6
10,..83..7..36...72.......6..17..5.....6....1..22....4..9..5...9...2..8.5..........7,148392765369157248572846391791528634654931872283764159815473926427689513936215487,23,1.7
11,5.....21....4...........5.7....3.1....8..4.7..632.....1..9.2..........5.9.43.7..6,549673218871425693632189547495738162218564379763291485186952734327846951954317826,23,1.1
12,.....6.1.5...19.4.1..5.7.2...6.9...8.79...2............526........8..9..4.1.....6,793426815528319647164587329316294578879135264245768193952673481637841952481952736,24,1.4
13,498...2..5....2......6...54....275..9...5.74...3....6...6.....5.1..8.......1...2.,498531276567842319132679854684927531921356748753418962246793185315284697879165423,24,1.8
14,7...64..861...3.4.52..9.......9...7.........4.5.6..2....9...4...87....6....78...1,793264158618573942524891736342918675976325814851647293239156487187432569465789321,25,1.3
15,4...395..59....7...2..7.....3.92..1.....4...8846..7...2.......1.....2.54....9....,471839562598261743623475189735928416912546378846317295289754631367182954154693827,25,1.1
16,73.4..........6.8..5..1.2..4.91...5...3.8...2........9...3.584.9....2.65.8.......,732458196194726583856913274429137658673589412518264739267395841941872365385641927,25,1.0
17,8......2....81.5.4...493.8.6.2.....31.....4...5.6......8.3.5.......79...4.1...3..,834756129769812534215493687642981753198537462357624918986345271523179846471268395,25,1.7
18,5..3......7.....4.8....2..7...29.........5.7..5..1.8.9.32....6.....49...76.....15,591374286276981543843562197617298354928435671354716829432157968185649732769823415,24,1.2
19,..68...........6.5.9.....7.1...6.3...4...8.9.6...7.....83.462.....9.2..8.2....5.4,476835921312497685895621473158269347247358196639174852783546219564912738921783564,25,2.0
20,9....573...8..3.5...1.2....2....4..9.......6..4..91.2..3.5.2..7....87....82......,924815736678943251351726948216354879593278164847691523139562487465187392782439615,25,1.4
21,76....4.8.58.....22....9.......5...35...3......18.4....294..81...............82.5,763512498958643172214789356897251643542936781631874529329465817185327964476198235,24,1.3
22,......8....1..8..7.572...9....6.9.31....8.....45.3.....64.......18.5..2....1..3..,436975812921368457857214693782649531193582764645731289264893175318457926579126348,24,1.7
23,.21.9...3.5.6...2...6..8.97......78....5...39....82...3.........6.1.5....1.724...,821497653957613824436258197295341786184576239673982415342869571768135942519724368,26,1.5
24,75.....3..6.34..15.......2.4.6...1.93..4.....128..6.........3...3..51.9....9.8...,751862934862349715943175628476283159395417286128596473589724361234651897617938542,26,1.9
25,....1.86...97..1...2....7.....176....748........5...9.....25..83.7.9.5..........4,735214869469758132128963745592176483674839251813542697941625378387491526256387914,24,1.1
26,..3....1.4..723.......5.2....4...5...1.3.6..2..71..4...........932.....715.....9.,523469718481723659679851243364297581815346972297185436746938125932514867158672394,24,1.1
27,..8..3...95.4..3....4.9281.........41....59..78....16....1...8.....67.........5.9,218653497957481326634792815329816754146275938785934162572149683893567241461328579,25,2.0
28,......7.6.7.5...3.4....3....18......3....6..9.6....8...9...237..4..51......7..49.,539124786672589134481673952918247563357816249264395817895462371743951628126738495,24,2.0
29,..4...8..6.5.2.....7.3....4...25.4..1.36...7..2......1..8...7.9.3.7...1...6......,394517826685924137271368954867251493143689275529473681458132769932746518716895342,24,1.6
30,.2.1...5..6.9...8..7.5.4...6.....9.........6.....3.2.41..6...2......9...93..27...,429183756561972483378564192612458937743291865895736214187645329254319678936827541,23,1.2
31,.3.....8.....3.9.4..724...6..1.527...85...6.....8....5.9..241.......6.3..2..8....,439675281562138974817249356641352798285497613973861425398524167754916832126783549,26,1.3
32,.........369.4.......37..5...72...9.6.......7......52....7.5...2....46.1.4..8.2..,754819362369542718821376459517263894692458137438197526186725943275934681943681275,23,1.5
33,.758...1..2..1.48......3..9..45.......1...86..9...1.2..46...7..8.3.7........5....,475869213329715486168243579684532197231497865597681324946328751853176942712954638,25,1.1
34,...4.....7...89.4.9.6.3.....5....3713......2.4..1..5......2.....1..94..2.8......7,128465793735289146946731258859642371371958624462173589693827415517394862284516937,24,1.6
35,1.....69...5.9..17...4....3.7.18.....6..32..1.......7..39.1..25.....3..9..62...8.,143857692825396417697421853274185936968732541351964278439618725782543169516279384,27,1.6
36,.....5..37.3....6.9.5....2..6....7..4....32...98.7.14.6..35.8.......2.......4..7.,246715983783429561915638427162594738457183296398276145624357819871962354539841672,25,1.9
37,...78.9...9........72..4.36...56...1..8.....9..3..247...7....5.3.9..5.......73...,435786912896231547172954836724569381518347629963812475247698153389125764651473298,25,1.6
38,4...8.5...86.....32......48....3.....12.4....3.41...2..9...5.6...8..6.7.....134..,431287596786594213259361748975632184812749635364158927193475862548926371627813459,26,1.6
39,.....87.3..5.1..2....4.......87......9....6.1.7.3...9.....9.16..86....3...4..7...,649528713735916428821473956168759342593284671472361895357892164986145237214637589,23,1.1
40,29.7...3...89.....36..4.......87.2.1....6..5...2.5..8...4..5.9.6.....7...3....4..,295718634418936572367542819956873241843261957172459386724685193681394725539127468,25,1.6
41,1....93..5..3...2.9...485....4.5.71....9.6...2.......5...7...6.3.6....8.......4..,182579346547361928963248571694853712715926834238417695429785163356194287871632459,24,2.0
42,....7..2.8..6.....3..........91....72....5..3...4..8...35.29.6...8.......7.....4.,516978324824613975397254186689132457241785693753496812435829761168547239972361548,21,1.0
43,.7..46..36.....5....1..58.7.5..87.2.3..........4.....8....5.9.......9...13.47....,875946213623718549491325867956187324387294156214563798748651932562839471139472685,24,1.8
44,5......1.4.....675.1.6.29..7..2.........13.....94....8.....7.2.....9.....35..4..9,563749812492138675817652934741285396658913247329476158984367521276591483135824769,24,2.0
45,..3.4..17.4..1..282........3....9..6..9....5.8..5..1.....8....2.8....6..1...638..,563248917947615328218397564351479286679182453824536179436851792785924631192763845,25,1.3
46,.1.94........3..54..21.7....5....987.6.....4.....21......5..3..8.....6...972.....,516948723978632154342157869251364987763895241489721536124576398835419672697283415,24,1.3
47,..82...1.2.....456..5.4...........3...7.58.9.1.3.....7.7.13....8.27.9............,468295713291873456735641928589417632627358194143926587974132865852769341316584279,24,1.6
48,4...9.8..9....642.....72.5.2.93....1..1.67....3..1.........3.......4.6....8...23.,427591863915836427683472159269384571851967342734215986546123798392748615178659234,25,1.2
49,.2.......8.65.4........17....2....73.54......7.....18.2......4...3.......4.7826..,327698451816574329495321768682419573154837296739265184268153947573946812941782635,23,1.6
50,......2.5.7.....6...95.6......9....221.4..9...6..8.7...8...3.......7...1.3...1..4,643718295175329468829546317358967142217435986964182753481253679592674831736891524,23,1.2
51,.78..9........6.......4.....1..8..375..6..9........1.2.318....6..6.9.....9.7...28,678159243349276815152348769914582637523617984867934152731825496286493571495761328,24,1.6
52,9....5.1.....96..4.45.1..68....68..9.........627......731...4..........6.6.28..7.,986435217172896534345712968514368729893527641627941853731659482258174396469283175,26,2.0
53,....5....8.6..35........7123.8.4......96.58.....2..3.45...8.2.....5.....9......3.,792451683816723549453896712328947156149635827675218394564389271231574968987162435,24,1.4
54,6..2........39...5..4....369....2.7.7.2.5..98...............7....84....23..17.6..,693245817817396425254781936946812573732654198581937264469523781178469352325178649,24,1.6
55,8.3.1..722....496.......3..6..7.....48...1.....923.....1.....3.7...........65..9.,863519472251374968947826315632745189485961723179238546518492637796183254324657891,24,1.4
56,2.48.5.......146..........57.61..5..92..........7.3...1...672...9.2..48......9.3.,264835917573914628819672345736128594921546873485793162148367259397251486652489731,26,2.0
57,...3....6..3.....274...98.........2.1...5..8...74...5.5...36.1.9....8.6.3..9.54..,258374196693581742741269835465813927129657384837492651584736219972148563316925478,26,1.3
58,..3....9.8..316.2...2.....6...6.5......1..8...4.73.....9..2.4.7...8..9..57.....3.,463287591859316724712459386287695143635142879941738652198523467326874915574961238,25,1.0
59,.7.....98..1...3.....4..1.......4..359.7..2...8.5.1....2..6..1...58.......7..3..5,674312598851679324239458176716294853593786241482531769328965417165847932947123685,24,1.0
60,3..7.2....7..53.........2..2...8...4..9.....5..5.2......6....9..1.3..67.52....1..,394762851872153469651894237267589314489631725135427986746218593918345672523976148,23,1.6
61,8.2..641...45.93..........63...2.89...1.....2...9...4.2..83......5.....4.....4...,852376419674519328913248576367421895491785632528963147246837951135692784789154263,24,1.7
62,.85......9.7.....5.....2.8....321........67..8.49.....3..2..84.7.....9...69.8....,285619374917438265643752189576321498192846753834975612351297846728564931469183527,24,1.5
63,.4....69...8.65...51.......7.....3.2.5.4.6..9...5..8..6..19.2...........9....8..3,347281695298765431516934728764819352853426179129573846635197284481352967972648513,24,1.3
64,.98........328.9.56.......38....1.62..1.7....7....5........75.........29..93.2..6,298534617173286945654719283835491762921673854746825391412967538367158429589342176,25,1.4
65,.....8...58.14.9.....2.957........6..2....7..37...1.8.95......383.........1.3.65.,269578134587143926413269578198427365624385791375691482952716843836954217741832659,26,1.9
66,..5...3..7..3.2...49.68...7.1......3...4.5.........9.62..9..478.....813..........,625749381781352694493681527519826743367495812842137956256913478974268135138574269,24,1.9
67,..3..524.....4.8.1..8.2.........1.2.6....9..3..9.6.....4....53..6.3..4...5.......,193875246526943871478126395785431629614289753239567184841692537967358412352714968,23,1.3
68,...6.5..2...1....6......4...4.2......73.58....5...6..8..6.1.934..578....9........,398645172524197386167823495849271563673458219251936748786512934435789621912364857,24,1.3
69,..4.13.....64.73........2............8.7...9.4.....6218...61.7.12...9.6...7......,754213986296487315318695247932146758681752493475938621849361572123579864567824139,24,1.2
70,.4..96......4...........7.......13.2.6...2....8.63..7...63..2.4..81.....4.786...1,742596813815473926639218745574981362963742158281635479196357284358124697427869531,25,2.0
71,...4.8...3...6...7..2.35...2.1....7...6.4...1.5...2..891..........7.........8.25.,569478132384261597172935864241893675896547321753612948915324786628759413437186259,23,1.1
