id,puzzle,solution,clues,difficulty
1,....61....4....7..7....5..3..5..6......54...2.3.9...1...8...17..2.........6....84,983761425542893761761425893275136948819547632634982517398254176427618359156379284,22,4.2
2,549...86....7....9.83.......1.52.6.8......9.......4.2.8...93.......764..........1,549231867162748539783965214314529678258617943697384125821493756935176482476852391,24,4.1
3,..........37.4.8.2..49..3..4.........81..9....2538........95..31...2...7.58..61..,592738641637541892814962375463217958781659234925384716276195483149823567358476129,26,4.1
4,32.7.1..5...3....4..7.48..........6.2...8.4..74..6...94.12...........5..5......13,324791685985326174617548932159432768263987451748165329471253896832619547596874213,25,4.3
5,.3..1..6......57..5..26..8.......4.2.8..7..5...6.4.....6.......4.8...9..2..9....3,837419265642835791591267384753698412184372659926541837369124578418753926275986143,23,4.6
6,7...564.92..3.9..7......3.....4...96.....85....4.1....87..4..3..9.7....8.2...3...,738156429245389617619274385152437896367928541984615273876541932493762158521893764,26,4.7
7,.4...86.....1..7...239...5..3..9...2......17....3.45..6.4..32...7........8.6.....,947538621856142739123976854538791462469285173712364598694853217275419386381627945,24,4.2
8,..31.24......94.......6.2...2..4.7819....8...1..6......6.....27.5....9.62.....5..,893172465612594873745863219526349781937218654184657392369485127458721936271936548,25,5.5
9,.5...9..7..9..536.3..6...1..........52.91.6....1..2...8....3.2529..4..........4.6,652139847149875362387624519973486251528917634461352798814763925296548173735291486,26,4.4
10,..7..9....4.8...1...3....5425...74.........26........54.9..3.....1..23......1..69,127549638945836712683271954258167493714395826396428175479653281561982347832714569,24,5.4
11,...8......3..69.2.....2.756..7......6....1.....96...37.72.5...9.54...8..96....57.,726815943435769128198324756287543691643971285519682437872456319354197862961238574,27,4.4
12,7....648.2......7...9......4..1....7...8....31.5.3..4....7...31....8.5.6..6..2...,731296485248513679569478312483125967627849153195637248952764831374981526816352794,24,5.0
13,8.43...9....9.483.9..1..5..15...7......81.....6..3..7.....2...9........573.....2.,814356297526974831973182564158267943347819652269435178485623719692741385731598426,25,5.0
14,.7..........3...8.....49.51.6..3........5....1427......379..46.4.....1..9....8...,679581324514327986283649751765834219398152647142796835837915462456273198921468573,23,4.5
15,...4.2..3....8.9...1.9.7.64.7.....3.9.....6.51....9...........6....2..4.24.5.1.97,689412753437685912512937864874256139923148675165379428351794286796823541248561397,26,5.2
16,.1...567...7...41...53......9.1........53..8.8....6..7.......2....2831..4......3.,218495673937862415645317892394178256726534981851926347163749528579283164482651739,24,4.4
17,...1.......6...3....5..3.71...7....2....8.....2869.....4.....13.1...4.5.96....2.4,239176548176458329485923671391745862654382197728691435542869713817234956963517284,24,5.3
18,2..13......58.....3....97.8.......7...3...46.9.....8......6.....693...5.1.7..839.,286137945795824613341659728628493571513782469974516832432965187869371254157248396,25,4.1
19,..36....9.8.9.......5..4.3.1..42......7.6.....26.73..5..12....6.4....91.......7..,273615849684932571915784632158429367397561284426873195831297456742356918569148723,25,4.5
20,1...3...99...87.4...4..9.6..8....57.........326.......8..42..........9....18....4,128634759956187342734259168489312576517946823263578491895423617342761985671895234,23,4.1
21,..3.......7..18.......2.84.78..6......2.956........9.35..27...912....7........1.8,863457291274918356951623847789364512312795684645182973538271469126849735497536128,25,4.4
22,.2...6.8......3...3....71.....7..9..8...2..35..9..4....4.......6..1.24.8..7...2.9,921546387475813692386297154132785946864921735759364821248679513693152478517438269,24,4.9
23,....52....867....1..3...4...3.6....9.......2...71...5.6........1.2.6.7...7....8..,714352986286794531593816472835627149961485327427139658658973214142568793379241865,22,4.7
24,......3.4164.......2...8........47..6..1..8...789....6...7...914........3...59.8.,789526314164397258523418967931864725645172839278935146852743691496281573317659482,24,4.2
25,.65.4.9.39......78.....1......42.7.1..........1.9765..89....6.....8.....6.45.....,165748923943652178728391456589423761476185239312976584897234615251869347634517892,25,4.1
26,..1.8..5...51......723.........4...1..9...5...3....2.66...73...7.4....9....9.4.6.,361489752945127683872356419586742931429631578137895246698573124714268395253914867,24,4.3
27,.6.7...38...1.....4.......5..5.1.96....25....7.......1.2..8....8.....2..59...4.87,162795438358146792479832615285417963916253874734968521627581349841379256593624187,24,4.4
28,..9..6..24...5..6.1..2..8...1......8..65.4...8.5.9.....74....2....467.........9..,759846312428153769163279845917632458236584197845791236574918623392467581681325974,24,5.7
29,...12......45.7..8..9..37..5..8....1.2..3.5..9.8........67..1.43.............8.6.,785126493234597618619483752563874921421639587978215346896752134342961875157348269,24,5.8
30,......1...9..2..3.4....12.59....3.4.5.....6....6..4..82...1.3...4..6..7......58.4,652347189891526437473981265918653742524178693736294518287419356345862971169735824,25,4.5
31,7...4...6......7...3.2...5.....2...1..9..8...2.5..3....97.8......8.61..9.1.....47,721845396584936712936217458863524971149678523275193684397482165458761239612359847,24,4.9
32,..........6.348....2....7.8.39.8.6...7...6..3..6...5....782...641...9.8.......12.,583297461761348259924165738139582674275416893846973512357821946412659387698734125,26,5.0
33,..3....5.5..24......4.162...19.........4..82......9.3........98..53.....148..2...,623897154571243986894516273319628547756431829482759631237165498965384712148972365,24,4.1
34,..2....9.8....75.....46..3..8.6.........79...7..3...16.7...89...4.5.6...3......4.,612853794834917562597462831481625379263179485759384216176248953948536127325791648,24,5.5
35,..41...8.3..8...5..1..3.4..4.....67..9..6.5.8..7........5........3.7.8..72...436.,254196783376842951819735426438951672192467538567328194985613247643279815721584369,26,4.1
36,..8..2..3..5.7..16.1...3.....7..1.4...2.35..8..........61...4....39..2.5.2...7...,498162753235479816716583924357891642642735198189246537561328479873914265924657381,25,4.6
37,.3......88..5..3........1.6..7...8..5...6..2..438.57...6.3..........65.1.859.4...,431697258896512374752438196927143865518769423643825719264351987379286541185974632,26,5.1
38,..9..1.....6....7..4.6...9..8...........3.71.....785.2.3....6....4.5...151.3..8..,359721486826594173147683295783215964295436718461978532938142657674859321512367849,24,4.1
39,..95.......7.2..59......6.124.9....3.9..8.....1.....6.....93..6.....5.12.3..1.8..,189564237367128459524379681248956173693781524715432968851293746976845312432617895,25,4.1
