id,puzzle,solution,clues,difficulty
1,.....8....4.9...61.73.2..............2.3..9..8.9..6..37...51..6.91....4....2.....,965138472248975361173624589357892614426317958819546723732451896691783245584269137,23,6.4
2,5.....143.4.......6....18.9.7.96.....13....6.9...1...4.....83....85......9....47.,589627143341859726627341859874962531213485967956713284462178395738594612195236478,25,6.1
3,7.5..6....2..4...9.4.3......7..3.825...5....3..3.6....1....8.52....7.4....9.....7,715986234326745189948312576674139825891524763253867941167498352532671498489253617,25,6.1
4,.49.32.7...5......3.2...9...7..........8.6.....1..9.53...1.5.......2..4....7..598,849632175765491832312587964576314289293856417481279653938145726657928341124763598,24,6.1
5,..8.....69.1..47......3....7..1......5...2..46...5............8.4.8..26....57.1.3,478295316931684752265731489792148635153962874684357921317426598549813267826579143,23,6.4
6,8..3.......7.....93...12.6...9...7.6.4.9...2..5.2.4.1..3.5......71...6....8....9.,862349571417658239395712468289135746143976825756284913634597182971823654528461397,25,6.1
7,54....9..7.8............7.61....4......138....5..7..3.3.5.498..2..6...9......1.4.,541867923768392514923415786139524678476138259852976431315749862284653197697281345,25,6.6
8,58..6..9...6..5..........1....29.....5....1..6.4.57...8......34..2.4....1.9..6.2.,581462397936715842427839615718293456253684179694157283865921734372548961149376528,24,6.1
9,..3.2..64...83.....2..6...96........7...4...2.4...1..........9..683...2..1..72..5,183927564956834271427165839691253748735648912842791356274586193568319427319472685,24,6.1
10,..9......3.....4266...7.9.......5.....78..1..4......68.62...7...9.4....57.5.3....,219648357378951426654273981986315274527864139431792568162589743893427615745136892,24,6.1
11,....6.....5....6...43..7.1.1.5.9..8.....2..3....6...7..3.....42.71........287....,219468357857139624643257819125793486786524931394681275538916742971342568462875193,23,6.5
12,...9..75...3..14...2..4...1.58.......1..8...3.32..6..........94..5..812.....9.8..,841963752673521489529847631958134267716289543432756918287615394395478126164392875,25,6.6
13,.....5..79.76.......1....94...48...663.........5....2...29..3.....517.........1..,468195237927634851351872694279483516634251789185769423512946378843517962796328145,22,6.1
14,....6...1.87...5....24..3.8..8....3.91....2..3..7.9.8........4.86.9.....2..3.....,453268971687193524192475368578621439916834257324759186739516842865942713241387695,24,6.6
15,84..7...9...92..6.....4..8.......8.....1..6..9268...3.3..2..9....1..5.2..87......,842671359573928164169543287415367892738192645926854731354216978691785423287439516,25,6.2
16,......26...249..3.5....3..7.....2......7....64..3...5.7.4.....1.....4.8...856...2,347185269862497135591623847673852914185749326429316758754238691216974583938561472,24,6.7
17,2.....3..........9.39....17..3.4.2.66..1.......2..8.71.6.7....2....8.......5.4.8.,215879364746315829839426517183947256697152438452638971568793142374281695921564783,24,6.2
18,2.........1529..7..8.6.........6...28..52.....7..314.5.3..1...77.....3.......5..4,267148539415293678389657241153764982846529713972831465534916827791482356628375194,25,6.8
19,1..............6....8.14.3......3..6.7...9.2.9..57........3......32....5764.8....,139652784427398651658714239541823976376149528982576143295431867813267495764985312,22,6.3
20,.....3.26.5........7..1...35....8.....8.9.......2714...1.4..9.26....7.5.......3..,489753126351642798276819543547368219128594637963271485815436972634927851792185364,23,6.3
21,..5....8.2..7..4311....2...7....8.....4.5...9..1.6..5........63..3.1...45....6...,475931682296785431138642795752198346364257819981463257817524963623819574549376128,24,6.4
22,....2......6.7..1.7.1.38......3.......5..6.8.93..5....2..4....3..8...92........46,894125637356974218721638495682341579145796382937852164269417853478563921513289746,23,6.4
23,.74...1....57.6..4.....4.5...7..9.8.82....3...4.........9.61.......3...6.1..4....,274853169195726834368194257537619482826475391941382675789261543452938716613547928,23,6.1
24,...68.....1.....4...5...9.7.2...73....8.1.....71..5....8.7....4..73..1..69.....5.,742689531916573842835241967529467318368912475471835629183756294257394186694128753,24,6.1
25,..5....4...2..3..67..64.1..6..91.7....7.8.....8..7....51....9.3..6.............24,865129347142753896739648152623914785957286431481375269514862973296437518378591624,24,6.5
26,6...7.......9...3..2.4..7.......9.......6..58.837..9......2......5...3..7.15...9.,634875219857912634129436785516289473972364158483751926398627541245198367761543892,22,7.2
27,...........8...9...2163....3..97.6...5......7.....1.8..6..5...2......79.....6...3,647895231538217964921634578384972615159386427276541389763159842815423796492768153,21,6.8
28,........5.719.....4.8..23...4.6.18...837..............796...28.8.......9......4.1,269378145371945628458162397947651832683729514125483976796514283814236759532897461,24,6.2
29,..7....2.24....59......5..4.5.9..8.26....4.3....3.....4.....7....8..6..1.7..1....,537849126246137598189625374753961842612584937894372615461253789328796451975418263,23,6.5
30,4.....6...1...4..52.6....8....3...41.9..7.....2...8......8.59...38..17..9........,453987612819624375276513489687359241195472836324168597761845923538291764942736158,23,6.2
31,..1..94.5..9..4....5..1..8..8.....56..2.....1...85....7....6..8.1.7...3.9..3...6.,871639425629584713453217689184972356592463871367851942735146298216798534948325167,25,6.5
32,.8..7...2.......73.....314.8...472...1.6..7...9.5.....2.......59...2.3....1.658..,183479562425816973679253148836147259512698734794532681267381495958724316341965827,26,6.1
33,3.4..5...7.....9.6..91.....9......4......73.1..586.....2..........7..8...4..2.5..,314695782752438916869172435971253648286947351435861279627584193593716824148329567,22,6.5
34,6......3..2951...6..1........7....8...67....55.....9....5.723........4...1.9.65..,654287139829513746371694852197425683486739215532168974945872361268351497713946528,24,6.4
35,9.....71.3.....4..54.....89.82..3..4....6.....5.8........3...6..7.48.2......768..,928534716361798425547612389182953674439267158756841932814329567673485291295176843,25,7.0
36,.7..54........67..4.63...1...2.4.36....5...7.3..8...2...8.......6....94.29.......,971254683523186794486379215852947361619523478347861529738492156165738942294615837,24,7.1
37,2...1...8.5..7.....6.....9417.5..........9..5..8.6..3.3.....4...15..69.2...2...5.,237914568954678123861352794172583649643129875598467231326895417415736982789241356,25,6.2
38,.......6...29.....19..3.2.8........2.6..854..8.174......9...316...3....52...1...4,387421569642958137195637248574163982963285471821749653459872316716394825238516794,26,7.3
39,....1..2...8.9.7.3.....3..5..59.8..736.17..........2...1....54...6...........48..,593817624628495713174263985245938167369172458781546239817329546456781392932654871,23,6.8
40,4....3.95.1...83...7...41.....6.9..8....8....76..4..1..49..2.........54.5.7......,486713295215968374973524186152679438394281657768345912849152763621837549537496821,25,6.1
41,......8...7.15......42.871.5.......3..16.3.....842..6...2......48.9..62..........,129734856876159432354268719567891243241673598938425167792546381483917625615382974,24,6.2
42,3.9..84....1.....6....4............8.7..9...24....1.3..3.91.8..8..3.59....4.2..5.,369258471541739286782146395953472618178693542426581739235914867817365924694827153,25,6.6
43,..3...2...4...7.6..158....9.8..1.........4.73...5.36..5.7...3.....3...5......1.8.,973165248248937165615842739389716524156294873724583691597428316861379452432651987,24,6.3
44,..4.........4..91..8..26...5...7...6....427.....3...2.2.6.....7.....7...3...6.8.4,954713682762485913183926475529178346831642759647359128216894537498537261375261894,23,6.8
45,7......69....5..8...937........258.1.......5..831....63.2..8...6......7...89.....,735481269164259783829376145947625831216834957583197426352718694691542378478963512,24,7.1
46,...86...54..3...2.3..2...9..6...375.75...8.6...9......2...........9.1.78.9.......,921867345475319826386245197862493751754128963139576482217684539643951278598732614,24,6.1
47,....4..9.....51.63.......8..13.69......2...5...2.....8.5........34..5216.9..3..4.,167348592928751463345692187513869724489273651672514938851426379734985216296137845,25,6.5
48,.7.1..........6..3..9....54...6...85...82..4..173.......25.9.6...6..2....9.......,274135698581946273639278154423691785965827341817354926342519867156782439798463512,23,8.3
49,...4....8..5...64...31......96.1.....8...93...1....5.77...8...26....79...........,169452738275398641843176259596713824487529316312864597734985162651247983928631475,22,6.5
50,4.2....9.8....7..61...6...3..59.........8..3..3....9.1.......4....5.938.....43...,462351798853297416197468523715932864946185237238674951389726145674519382521843679,23,6.3
51,.7...81.39..62.5....3......8.....6.5.3....2.......4.8.7..9....2.2.....1....41.8..,476598123981623547253741968842179635137865294569234781714986352628357419395412876,24,6.3
52,.8....5..4..95......7..2..8......3.1..8.96.54...3...6.5.2.3.....4....7....16.....,689173542423958176157462938764285391318796254295341867572834619846519723931627485,24,6.2
53,.....6..8..49..5..13..7..9..4....7....7.91.3...8....5.82.4..9.3.7.23.............,792156348684923517135874692549382761267591834318647259821465973476239185953718426,25,7.4
54,........6.1..75.3....6.82....2.4..8.1.....9...8.3....7..8......62.8..5...7..596..,853124796216975834749638251962741385137586942485392167598267413624813579371459628,25,6.1
55,..6....4...5..1.7..4...9......6...........31...127..89.........2.759..........723,796832541325461978148759632983614257472985316561273489614327895237598164859146723,22,6.2
56,9.........1.3.6..9.....4.81.31...7.......74...2.5...6..6.8....4.....5...4....92..,946158327812376549375924681631482795589617432724593168267831954193245876458769213,23,6.2
57,.37..9...4...5.36.....8....3..4.1..28...2.........3..9254..6.........2........5.1,137649825489152367562387194395471682846925713721863459254716938918534276673298541,23,6.1
58,...1..........69.2..39....77.....3.8..9.3....5..7.2...9.....8....65...1..5..67...,692174583175386942483925167714659328269831475538742691947213856326598714851467239,23,6.6
59,.7...98.......42....1..5.4.5.7.9.....3..5.7....8....3.9..4...8..8..2...6....6.1..,472639851853714269691285347547392618139856724268147935916473582385921476724568193,24,7.0
60,9.3....4.6...7..8.8..2.......4..7................68235.....59..2..1....3....4..1.,973851642625374189841296357364527891582913764197468235418735926256189473739642518,22,6.6
61,8....14....3..5.7..4....12..9.8....22.4...5.......3....15..9..4.......8....36....,856271493123945876947638125791856342234197568568423917615789234372514689489362751,23,6.2
62,.5.....232...4.9....62.7.5......1..69........68.....7...7..2...3.....64...1.53...,458619723273845961196237854732591486914786532685324179547962318329178645861453297,24,6.1
63,1.......8..2..6.....62...5......54.9..87....6.3.1...85.7..9...........1....5.8..4,197453628582916347346287951261835479958742136734169285475391862829674513613528794,23,6.1
64,.8.7....5612.........2...1.....5...37..69..2...6......9.8...4....31...7.4...8....,384716295612935784597248316129857643745693128836421957968572431253164879471389562,23,6.5
65,...3..2.53.9..8...65...2.4..3.7.5...472.6................82.9.7..1.......9.....2.,814376295329458176657912348938745612472163589165289734543821967281697453796534821,24,6.1
66,1.2...3...4..8..6.....532......4.......9.6....6...5.7.6....7..9.19..8.5.85......2,182679345543182967796453281238741596475936128961825473624517839319268754857394612,25,6.2
67,......4.........7.4....3..8....4..6..7..5......67.9..2.659...8...9..7.2.....1.5.9,593872416681495273427163958938241765274356891156789342365924187819537624742618539,23,6.4
68,.3.8..6....4...7..9....6..5..5.....7.6..3.......9.8.4...9.........2......17..58.9,731852694654193728928476315895614237462537981173928546389761452546289173217345869,22,6.6
69,2.....1......9.3.253..4.96........8.6.57........5....4...1.4.......78.1...9....2.,298637145164895372537241968723419586645783291981562734376124859452978613819356427,23,6.5
70,.367.......83...9.7..18.....5.9....63...2.98.......2.......7..86...5....8....36.5,536749812218365794749182563152978436364521987987436251495617328623854179871293645,25,6.4
71,..8..6....4.15...9......73...96..8..3...1..7..8...4..38.....6..1..2.........65.4.,938726514647153289512498736479632851356819472281574963895341627164287395723965148,24,6.1
72,...962..8..........4........2.18..3..5.......68...4..126.4..7...9...6......7.5.4.,573962418916843257842571369429187536351629874687354921265418793794236185138795642,23,6.7
73,....586.3......2..54.2..79.9....2.........8..25..4....76.5.49...9.1.6..7.....73..,129758643876493215543261798938612574614375829257849136761534982392186457485927361,27,6.1
74,3....2.1...8.....4.9..7....2.1..93.8...........5..879...35.1...8....7....6.9.3...,354892617728156934196374285241769358987235146635418792473521869819647523562983471,24,6.3
75,...3.1.....8....9.6.5.9...7......4..34.7....67.6...83....26.3.....9..78...4.8....,927341568418675293635892147892136475341758926756429831189267354563914782274583619,25,6.1
76,....6...1.87...5....24..3.8..8....3.91....2..3..7.9.8........4.86.9.....2..3.....,453268971687193524192475368578621439916834257324759186739516842865942713241387695,24,6.6
77,.4....6.....3...9.8.3..1.....89.5..73.2......7.....12....8..7...2.1....5....64...,149278653275346891863591274418925367392617548756483129934852716627139485581764932,23,6.8
78,9......4...5...218.7....6..1.359.....4.....81.2...8..5....62...8..13....6..7.....,961285347435976218278341659183597462549623781726418935357862194892134576614759823,25,6.4
79,..2.41.......5....19.3...8.9.....8...7.42..9.2....67........14....214...3...6..7.,852641937437859621196372485945137862671428593283596714529783146768214359314965278,25,6.7
80,4.87...6..1..6...2..5....3..5.2....9....89..5...5.6.8........2..43..8.7.2....74..,498732561317465892625891734854273619762189345931546287176354928543928176289617453,26,6.5
81,1..............6....8.14.3......3..6.7...9.2.9..57........3......32....5764.8....,139652784427398651658714239541823976376149528982576143295431867813267495764985312,22,6.3
82,...7..3.18....9...6..3.5.9.....3......1..2.69.....154..4..5....5..49.....2...7...,294786351853129674617345298965834712431572869782961543146258937578493126329617485,24,6.3
83,....918..........6.25.7.......4.5..1.4....3..3.7...........21..46..57.8.8.......3,634291857978543216125678439286435791549716328317829645753982164461357982892164573,23,6.1
84,.1...54..6.9..........3...7....8.3.4.......9..451....2...64.8...32.......8....9.1,213875469679412538854936217961287354728354196345169782597641823132798645486523971,23,6.2
85,1...7....37...5......9...1693......2.....6.5..4..8.........7..9.8..9.4..6....457.,162478395379165284854932716938751642217346958546289137423517869785693421691824573,24,6.5
86,.9...8..2..7..9..1..6..48.............13.7....8..1...3...6..2.44....5..8..3...6..,395168742847239561126574839634952187951387426782416953518693274469725318273841695,23,7.2
87,...9.8.27...2...........941..25.687.9......6....8..3....6......38..........14....,643918527791254638825367941132596874978432165564871392416789253387625419259143786,22,6.1
88,.....1..55.3...6.1.1.....248..9...7.....2.13..2......8..5.3....9..4...6....67....,294361785573284691618597324831956472459728136726143958165839247987412563342675819,24,6.5
89,.2...6...6......5....4....1...32.4..31...7.....7.8....5..1..2...6....7..1..2..9.3,921856374634712859785493621856321497319647582247589136593174268462938715178265943,23,6.6
90,..9.2....6......1....73.4.5.......3.437.6......1.....8.7.45...11...7.......2..3..,749521863653984712812736495985142637437865129261397548376459281128673954594218376,23,6.3
91,4......2.......1..97.63..5.25..7..1........7....48.5....47...6....54......32..9..,431857629865924137972631854258379416349165278617482593524798361196543782783216945,24,6.2
92,.2.7.5..3.4..8..6.6.7.....9..4..81...3.....2.....9.........4..1.63.....7.9....5..,829765413345981762617243859954328176731456928286197345572834691463519287198672534,23,6.2
93,23...5..9....8..1.7..4....3.8....5....48.....3.1.5..4.12.7...3...............62..,238175469495683712716429853982364571574891326361257948129748635657932184843516297,23,6.6
94,..2..4.3.9..........7.6.8...5...6.2.2.3....1..1.7.............51..8...4....3.57..,682974531941583276537261894754136928293458617816729453379642185165897342428315769,22,6.2
95,.....8...69....4.8..3...7..9..5....7.5.62.9....1.....5....136...8...2......98....,475198326692357418813246759924531867758624931361879245549713682187462593236985174,23,6.5
96,.....931.....8.9.7.3......2.....2..9..7.1......6.4..581..8.......42....6.5....4..,748629315521483967639175842485362179297518634316947258162854793974231586853796421,23,6.2
97,.....3..5..6.....8549....1..28.65...3.42......1.......98...........7.1.....4...92,871643925236951748549728316728165439394287561615394287983512674462879153157436892,23,6.1
98,.9...3..4...5...872.6...........532..3..27.4......4..86.51.....4......1.........5,597283164341596287286471953764815329938627541152934678675149832429358716813762495,23,6.2
99,..4...2.3.51..37.......4..1...7.....9.624..........1.......5...2...3...873.6....9,894176253651823794327594681143758926976241835582369147468915372219437568735682419,23,6.1
100,......6...7.86..1.2..1.7.3...25....6.4.....73....8.5..1..7....4.........9.7.3..2.,581342697473869215269157438392574186845621973716983542128795364634218759957436821,24,6.2
101,.1...3.5..6.75..4.7.2.........8........671.........29.58...7..4.....637.9.....5..,814263759369758142752914863145829637293671485678345291586137924421596378937482516,24,6.2
102,.3..9.4........28.4..3...7.9..........5.61...27...........8......29.3..67.95...1.,638792451597146283421358679916275834385461927274839165143687592852913746769524318,23,6.4
103,...92.3..2.4..5....5.8....17...4.8...9...615.....8...7...4.....3...91....2.....6.,681927345234615789957834621713542896892376154465189237578463912346291578129758463,24,6.1
104,.6....9..89..3......16..4...4.28.13.....4.6...86..1..4.....2...3......96.57......,563428917894137562271695483745286139132749658986351274619872345328514796457963821,25,6.2
105,...1....7.4..938.....62..9..3..8.1....9..4........2.75.56....4..9......82....6...,962148537541793862378625491635987124729514386814362975156879243497231658283456719,24,6.8
