id,puzzle,solution,clues,difficulty
1,....6....4..5.......1..8...3......7.28..9.3....4..382....784.1.....39764..9......,897361542463572198521948637315826479286497351974153826632784915158239764749615283,25,3.7
2,.....72.5....1....1....8.74.9....6.26.........7.6.15...531.4...2....5..9....8....,938467215427519863165328974591873642684952137372641598853194726216735489749286351,24,3.5
3,.....87...54...1..9....65.4....82.6.6..4..8......5......92..6.742.....38..5......,216548793854379126973126584547982361692431875138657249389214657421765938765893412,25,2.1
4,.....7.....14..7.9.2.8..46.8.3..1.56....2.....64..8....8....9.75............9..3.,948167325631452789725839461873941256159623874264578193386215947597384612412796538,24,2.1
5,89....7......1.6..34...65.8.2....1..9...3........8...77......5...382......27...6.,896245713257318694341976528628497135974531286135682947789164352563829471412753869,24,3.7
6,......68.8.......717.....2.7...4........6..31.93..84..4....3..5.1.97......75...1.,254731689839426157176895324721349568548267931693158472482613795315972846967584213,25,2.2
7,6.2.......8.14.....938.........7...3..63.8..52..9....8...7...5.5...6.8.2....9.4..,642539781785146239193827564859672143476318925231954678924781356517463892368295417,25,2.5
8,...3..28...1...43..4.....97..7.5..2.2..8......5...3.79...61.7..87...4.....65.....,769341285521789436348265197987456321213897564654123879492618753875934612136572948,26,3.2
9,........267..3...88.3...9...5.2.......89..5.....1.4.2.7..4..1.61...7...3.......8.,495816372672539418813742965951283647248967531367154829739428156184675293526391784,24,3.0
10,...619...7.5....3..2......4....2...36.....8.258.........93.86...3..4...8...1.....,348619275715284936926537184491825763673491852582763419259378641137946528864152397,23,2.5
11,.7...1...62..75..3...8.2...54.....3..68.....73......2...9..6..8..5.2.7.....58....,874931562621475983953862174542798631168253497397614825739146258485329716216587349,25,2.5
12,...29.5....1....29..5..4...8....2..3...16..5.....3..761..3..4.5.2.5.6...3......8.,678293514431675829295814367869752143743169258512438976186327495924586731357941682,26,2.7
13,...5....2.8..4.79..6...745....2....349.......1....5.........5....18.3...8.3...1.4,714569382385142796269387451658271943497638215132495867926714538541823679873956124,24,3.4
14,....6.9.......34..31..7.....526..........5.4...9....72....4...384...9.1.93...6...,574862931298153467316974258452617389783295146169438572625741893847329615931586724,24,2.2
15,317.....8.58...3......4......5....79.....9...9..5.3.1......78...4..9....7.3.2...4,317952648458761392629348157835614279164279583972583416596437821241896735783125964,24,2.1
16,.........1......4..2.7.5.96..4..6.5.6..1.3...8...2....5..8.....4...61.79.......61,745619283196238745328745196214976358657183924839524617561897432482361579973452861,24,2.3
17,8.7....4.4.....5.2..1.5...6.............2.17..9.....6554..9.3...8.........34.8...,857236941469187532321954786175649823634825179298371465546792318782513694913468257,23,3.2
18,3...874....7...8.5..9.34....6...89..7....5...1.52.........6...8.51....6......1..4,312587496647129835589634127463718952728395641195246783274963518851472369936851274,25,3.9
19,.9..7.5.45..8....2..1.9....7.3............6.....719.4.23..5...9..6...4..1..2.....,398672514567841932421395876743526198912483657685719243234158769856937421179264385,24,2.7
20,...9....7..8..642..4...2.......7..39.3.8.4.6...7...8.29.5.....64..35......3....7.,352941687798536421146782953684275139239814765517693842975428316461357298823169574,26,2.2
21,.62..8...4....7.......23.1......15.2..........537.4.6.........171....68..491.5..7,162948375438517926597623814674381592981256743253794168326879451715432689849165237,26,2.8
22,15...84...23.............1...94...5...4....6151...7....9.3....74..75...6....6.8..,156978423923541678748236519869413752374825961512697384695382147481759236237164895,25,3.4
23,.4.......2......537.5..9....2.3.71...6.9.28......5..4....1.6..74......2.......6..,643275918289461753715839264528347196364912875971658342852196437496783521137524689,23,3.4
24,9.1.6.........7..343..1.......65....6..7.158..4....3....2..........7..36.1...29.4,971364825265897413438215697189653742623741589547928361792436158854179236316582974,25,2.2
25,8...3..........62...67...1.......3.1.91..4.6......275..4..5...26.28..5....3......,825631974179485623436729815267598341591374268384162759748956132612843597953217486,24,3.4
26,..9.....746........7.264.1.53..2.7........32....5...948.4.5.....9...1......3.7...,289135467461978532375264819536429781948716325127583694814652973793841256652397148,25,2.1
