id,puzzle,solution,clues,difficulty
1,..438..9.......3..1....925......7.6...82....7.2..9..1..8.4....15.........6...85..,274385196895621374136749258419537862658214937723896415987453621541962783362178549,24,0.0
2,7.9...6..6...4..5..2.9......8..9.57.5.......8...3....18.5...........346..9...47..,759832614638147952421965837283491576514726398967358241845679123172583469396214785,24,0.0
3,.8.........97....6....5.7...5.82..4......45..3...1..2.........114.....3..2.64...9,785463192419782356632159784951827643268394517374516928897235461146978235523641879,23,0.0
4,7.46..81....9....38.....6....81....4..3......24....59.9.........2.746........37.2,754632819162985473839417625678159234593274168241368597987521346325746981416893752,25,0.0
5,.......8.....965..6..32.9....5....747.1.......96......8.24...9......9..5.4.5....2,539147286274896513618325947325918674781654329496732158852463791167289435943571862,24,0.0
6,.7............17.33157.2...15.....9..3..4....2.9.6.........6..8.2...8..6.4.3..9.1,978634215462951783315782469154823697637149852289567134793216548521498376846375921,26,0.0
7,7......46..2.1...8.1.......1.42.63...3..4....5...3.....9...7.84..6...9........51.,783592146962413758415678239174286395639745821528931467291357684856124973347869512,24,0.0
8,2............4.67....5..91....85....1...6..2.7.6....8..4...1.98..9..........8.4.3,275196834918342675463578912392857146184963527756214389547631298839425761621789453,23,0.0
9,.....8.344....51...2.7..8....352..1......9.2...13.4....9....2.3.8.1.........9....,519268734478935162326741859963527418847619325251384697195476283782153946634892571,24,0.0
10,.93..4....28.5.3.....8.....2...75..6.3.....97.......8..42..6.155.6.3.....1.......,793214658128657349465893271284975136631428597957361482342786915576139824819542763,25,0.0
11,.....39...8...4.....6.9..15.4...52..1..4.7...9....16..7.5.............72......86.,471653928589124736236798415647935281128467359953281647765842193894316572312579864,23,0.0
12,.......753..4.....87..1...34...7.3.6.16..2.....51....2.....4....2.36.1.4.........,261983475359427861874615923482579316716832549935146782198254637527368194643791258,24,0.0
13,.7.....9...3.9...1....14.87.5..........9..84.7...481...4.723....695.....1........,471856293683297451925314687854132769316975842792648135548723916269581374137469528,25,0.0
14,..8...2.....7..35..6.2...4.........17....6....1.....2.9...18...3.5.2....17..5...6,438591267291764358567283149653842791729136485814975623946318572385627914172459836,23,0.0
15,8..64...7..4......3..5.1..9..879...31.3..5.........92....4..1..4..93...67.2...3..,815649237924387561376521849258794613193265478647813925539476182481932756762158394,27,0.0
16,3.1...5.....5.4.........9....8.9...77......3....6...9.59..73..4416..5.......6....,341289576967514328285736941658392417729148635134657892592873164416925783873461259,23,0.0
17,.....3.24.25.....67.84...9....81.....1..9....6...245..1.9....3.......8...52.....7,961583724425971386738462195594817263213695478687324519149758632376249851852136947,25,0.0
18,4..9..8.......372...9..1...3.169..5..2.8...........4..13.....9...63..54..........,463972815518463729279581364341697258625834971897125436134258697786319542952746183,23,0.0
19,.....7.4.6.........59..63..5...9.8..98...5..7.73..2....98.4...21...5............1,832917546614583279759426318521794863986135427473862195398641752167258934245379681,24,0.0
20,......13....3.......5.8.7.6.62.....1.........7...5.82..9.8..5.76..9....8..824.91.,487569132926317485135482796862794351359128674741653829294831567613975248578246913,26,0.0
